Violation Score,Model,N,N Risky,Risky Rate,Mean P(risky),Recall,Precision,F1,False Safe Rate,Breach Rate
0.0,Baseline,7269,1428,0.19645068097399918,0.42261293920594306,0.8137254901960784,0.25510428100987925,0.38843389603877654,0.18627450980392157,
0.0,Regulatory,7269,1428,0.19645068097399918,0.4230234834764066,0.7822128851540616,0.26049440298507465,0.3908327501749475,0.21778711484593838,
0.0869565217391304,Baseline,45,12,0.26666666666666666,0.5357023955555555,0.9166666666666666,0.2894736842105263,0.44,0.08333333333333333,0.15555555555555556
0.0869565217391304,Regulatory,45,12,0.26666666666666666,0.5230477982222222,0.9166666666666666,0.2894736842105263,0.44,0.08333333333333333,0.15555555555555556
0.1304347826086956,Baseline,96,24,0.25,0.5638265121875,0.9583333333333334,0.2804878048780488,0.4339622641509434,0.041666666666666664,0.14583333333333334
0.1304347826086956,Regulatory,96,24,0.25,0.549454300625,1.0,0.3,0.46153846153846156,0.0,0.16666666666666666
0.217391304347826,Baseline,3,0,0.0,0.5271802666666666,0.0,0.0,0.0,0.0,0.0
0.217391304347826,Regulatory,3,0,0.0,0.51070311,0.0,0.0,0.0,0.0,0.0
0.2608695652173913,Baseline,37,17,0.4594594594594595,0.642003594054054,1.0,0.4857142857142857,0.6538461538461539,0.0,0.05405405405405406
0.2608695652173913,Regulatory,37,17,0.4594594594594595,0.621953458918919,1.0,0.4722222222222222,0.6415094339622641,0.0,0.02702702702702703
0.3478260869565217,Baseline,7,4,0.5714285714285714,0.5757450785714286,1.0,0.5714285714285714,0.7272727272727273,0.0,0.0
0.3478260869565217,Regulatory,7,4,0.5714285714285714,0.5602127457142857,1.0,0.5714285714285714,0.7272727272727273,0.0,0.0
0.391304347826087,Baseline,20,7,0.35,0.6999242944999999,1.0,0.35,0.5185185185185185,0.0,0.0
0.391304347826087,Regulatory,20,7,0.35,0.682709971,1.0,0.35,0.5185185185185185,0.0,0.0
0.4782608695652174,Baseline,7,1,0.14285714285714285,0.5481912085714287,1.0,0.16666666666666666,0.2857142857142857,0.0,0.14285714285714285
0.4782608695652174,Regulatory,7,1,0.14285714285714285,0.5369611114285714,1.0,0.16666666666666666,0.2857142857142857,0.0,0.14285714285714285
0.5217391304347826,Baseline,1,1,1.0,0.48988324,1.0,1.0,1.0,0.0,0.0
0.5217391304347826,Regulatory,1,1,1.0,0.51552516,1.0,1.0,1.0,0.0,0.0
0.5652173913043478,Baseline,3,0,0.0,0.5701219733333334,0.0,0.0,0.0,0.0,0.0
0.5652173913043478,Regulatory,3,0,0.0,0.5559372833333333,0.0,0.0,0.0,0.0,0.0
0.6086956521739131,Baseline,3,0,0.0,0.57357922,0.0,0.0,0.0,0.0,0.0
0.6086956521739131,Regulatory,3,0,0.0,0.5460362833333333,0.0,0.0,0.0,0.0,0.0
0.7391304347826086,Baseline,2,0,0.0,0.6708953049999999,0.0,0.0,0.0,0.0,0.0
0.7391304347826086,Regulatory,2,0,0.0,0.63559683,0.0,0.0,0.0,0.0,0.0
0.8695652173913043,Baseline,3,2,0.6666666666666666,0.5255667433333334,1.0,1.0,1.0,0.0,0.3333333333333333
0.8695652173913043,Regulatory,3,2,0.6666666666666666,0.5884945666666667,1.0,0.6666666666666666,0.8,0.0,0.0
1.0,Baseline,4,1,0.25,0.44642801249999997,0.0,0.0,0.0,1.0,0.25
1.0,Regulatory,4,1,0.25,0.5628320124999999,1.0,0.25,0.4,0.0,0.0
