Period,Model,N,N_risky,N_flagged,Risky Rate,Recall,Precision,F1,Balanced Accuracy,Brier Score,False Safe Rate (risky),False Safe Rate (flagged+risky),Mean P(risky) flagged
2010,Baseline,65,7,1,0.1076923076923077,0.7142857142857143,0.15625,0.2564102564102564,0.624384236453202,0.178460358000785,0.2857142857142857,0.0,0.7205781
2010,Regulatory,65,7,1,0.1076923076923077,0.5714285714285714,0.13793103448275862,0.2222222222222222,0.5701970443349753,0.1845106004735903,0.42857142857142855,0.0,0.71945786
2011,Baseline,115,13,3,0.11304347826086956,0.7692307692307693,0.18518518518518517,0.29850746268656714,0.6689291101055808,0.17041099248184255,0.23076923076923078,0.0,0.35166788
2011,Regulatory,115,13,3,0.11304347826086956,0.7692307692307693,0.18181818181818182,0.29411764705882354,0.664027149321267,0.17523848084658555,0.23076923076923078,0.0,0.33995655
2012,Baseline,268,50,4,0.1865671641791045,0.86,0.24431818181818182,0.3805309734513274,0.624954128440367,0.21073656471627053,0.14,0.0,0.4827429
2012,Regulatory,268,50,4,0.1865671641791045,0.72,0.26666666666666666,0.3891891891891892,0.6329357798165137,0.2066971866317179,0.28,0.0,0.48475912
2013,Baseline,756,116,7,0.15343915343915343,0.8706896551724138,0.19460500963391136,0.31811023622047246,0.6087823275862069,0.20994221062103496,0.12931034482758622,0.0,0.63655466
2013,Regulatory,756,116,7,0.15343915343915343,0.75,0.19772727272727272,0.3129496402877698,0.59921875,0.20550585790221318,0.25,0.0,0.6232592
2014,Baseline,1288,243,24,0.18866459627329193,0.8888888888888888,0.242152466367713,0.38061674008810575,0.6209994683678894,0.21094965626533205,0.1111111111111111,0.0,0.6134163
2014,Regulatory,1288,243,24,0.18866459627329193,0.8395061728395061,0.2490842490842491,0.384180790960452,0.6254947132140114,0.20858412582351893,0.16049382716049382,0.0,0.58951753
2015,Baseline,2104,407,71,0.19344106463878327,0.7911547911547911,0.2551505546751189,0.38585979628520073,0.61861805556561,0.21004363108414473,0.20884520884520885,0.0,0.60948044
2015,Regulatory,2104,407,71,0.19344106463878327,0.7886977886977887,0.25721153846153844,0.3879154078549849,0.6212198430819527,0.20960223119717827,0.2113022113022113,0.0,0.5946262
2016,Baseline,1656,393,45,0.23731884057971014,0.7837150127226463,0.3028515240904621,0.4368794326241135,0.6111765879131839,0.20891171566600036,0.21628498727735368,0.0625,0.5922794
2016,Regulatory,1656,393,45,0.23731884057971014,0.7735368956743003,0.3076923076923077,0.4402606806661839,0.6159845998561525,0.20919000127502282,0.22646310432569974,0.0,0.57804626
2017,Baseline,916,213,47,0.23253275109170304,0.8403755868544601,0.296849087893864,0.4387254901960784,0.6186230708098759,0.20986554773866475,0.1596244131455399,0.07692307692307693,0.54073775
2017,Regulatory,916,213,47,0.23253275109170304,0.8262910798122066,0.29931972789115646,0.4394506866416979,0.6201156679288629,0.20901604308943833,0.17370892018779344,0.0,0.5405542
2018,Baseline,285,44,27,0.1543859649122807,0.8636363636363636,0.20994475138121546,0.3377777777777778,0.6351376838928706,0.201471139353475,0.13636363636363635,0.0,0.56125313
2018,Regulatory,285,44,27,0.1543859649122807,0.8409090909090909,0.2138728323699422,0.34101382488479265,0.6382968691059978,0.2010937737503831,0.1590909090909091,0.0,0.5482181
